block,idx,tensor_idx
[3*]c1ccoc1,152093,426
[2*]C(=O)CSc1nnnn1[1*],152094,427
[2*]c1ccc([1*])o1,152095,428
[3*]C(=O)c1cccc(C(F)(F)F)c1,152096,429
[2*]c1ccc([1*])nc1,152097,430
[3*]C(=O)C1CC1,152098,431
[1*]Nc1nnc([2*])s1,152099,432
[3*]C(=O)COc1ccc(Cl)cc1,152100,433
[2*]C(=O)COc1ccc([1*])cc1,152101,434
[3*]Nc1nncs1,152102,435
[3*]c1ccc(C(C)(C)C)cc1,152103,436
[3*]Nc1cccc2ccccc12,152104,437
[3*]C(=O)c1ccc(Br)o1,152105,438
[2*]c1cc([1*])no1,152106,439
[3*]C(=O)CCCCCCCCCCC,152107,440
[1*]c1cc([2*])ncn1,152108,441
[3*]n1nc(C)cc1C,152109,442
[2*]c1ccc([1*])nn1,152110,443
[3*]Nc1ccccc1C(=O)OC,152111,444
[2*]NC1CCN(C[1*])CC1,152112,445
[2*]c1nc([1*])cs1,152113,446
[3*]Nc1cc(C)ccn1,152114,447
[3*]c1csc(N)n1,152115,448
[3*]Nc1ccc2c(c1)OCO2,152116,449
[3*]C(=O)COc1ccccc1,152117,450
[3*]NCC(C)C,152118,451
[3*]Nc1ccccc1C,152119,452
[2*]C=C1SC([1*])=NC1=O,152120,453
[2*]c1cc([1*])n[nH]1,152121,454
[2*]c1nc([1*])nc(N2CCOCC2)n1,152122,455
[3*]c1ccoc1C,152123,456
[3*]c1ccncn1,152124,457
[3*]N1CCCCCC1,152125,458
[1*]n1nnnc1SCC([2*])=O,152126,459
[3*]Nc1cc(OC)c(OC)c(OC)c1,152127,460
[3*]c1cccc(Cl)c1Cl,152128,461
[3*]C(=O)C=C,152129,462
[3*]Nc1ccc(C(F)(F)F)cc1,152130,463
[1*]c1ccc(C([2*])=O)o1,152131,464
[3*]Nc1ccccc1OCC,152132,465
[1*]Nc1nc(C)c([2*])s1,152133,466
[3*]NCc1cccs1,152134,467
[3*]NC(=O)OC(C)(C)C,152135,468
[2*]c1ccc([1*])c(C)c1,152136,469
[3*]Nc1ccc(OCC)cc1,152137,470
[3*]c1nc2ccccc2n1C,152138,471
[2*]c1ccc(OC[1*])c(OC)c1,152139,472
[3*]c1cc(C)no1,152140,473
[3*]c1cscn1,152141,474
[2*]c1nnc(SC[1*])o1,152142,475
[3*]c1ccc(C(C)C)cc1,152143,476
[2*]N1CCN([1*])C(C)C1,152144,477
[1*]c1cccc([2*])c1,152145,478
[2*]C(=O)CN1CCN(C[1*])CC1,152146,479
[1*]C(=O)c1ccccc1[2*],152147,480
[2*]c1cncc([1*])c1,152148,481
[2*]C(=O)c1cc([1*])[nH]n1,152149,482
[3*]Nc1cccc(C(C)=O)c1,152150,483
[3*]c1cccc(N)c1,152151,484
[3*]NCCC,152152,485
[1*]c1cccc([2*])n1,152153,486
[3*]c1c(C)cccc1C,152154,487
[2*]c1ccc([1*])cc1F,152155,488
[2*]C(=O)CSc1nnc([1*])n1-c1ccccc1,152156,489
[3*]Nc1cc(OC)cc(OC)c1,152157,490
[1*]c1cncnc1[2*],152158,491
[3*]c1cnc[nH]1,152159,492
[2*]c1n[nH]c(=S)n1[1*],152160,493
[1*]c1cc(C(F)(F)F)nc([2*])n1,152161,494
[2*]c1nnnn1C[1*],152162,495
[1*]c1cccc(C([2*])=O)c1,152163,496
[3*]OCCCCC,152164,497
[2*]c1nn(-c2ccccc2)cc1[1*],152165,498
[3*]Nc1cc(OC)ccc1OC,152166,499
[2*]c1nnc([1*])o1,152167,500
[2*]C(=O)c1cccc(S(=O)(=O)N[1*])c1,152168,501
[3*]NCCC(C)C,152169,502
[2*]C(=O)C1CCN([1*])CC1,152170,503
[3*]N1CCCCC1C,152171,504
[2*]C(=O)C(N[1*])C(C)C,152172,505
[2*]C(=O)CCC([1*])=O,152173,506
[2*]NCCCN1CCN([1*])CC1,152174,507
[1*]NS(=O)(=O)c1ccc([2*])cc1,152175,508
[3*]c1cc(OC)c(O)c(OC)c1,152176,509
[3*]c1nnn[nH]1,152177,510
[2*]c1ccc([1*])c(Cl)c1,152178,511
[3*]OCCCC,152179,512
[2*]N1CC=C([1*])CC1,152180,513
[3*]Nc1ccc2ccccc2c1,152181,514
[1*]Nc1ccc2oc([2*])nc2c1,152182,515
[3*]Nc1cccc(C)c1C,152183,516
[3*]C(=O)CC(C)C,152184,517
[2*]C(=O)CCCCCCC[1*],152185,518
[3*]OCCCCCC,152186,519
[3*]NS(=O)(=O)c1cccs1,152187,520
[1*]Nc1ccc([2*])cn1,152188,521
[2*]C(=O)c1cc([1*])n[nH]1,152189,522
[3*]Nc1cccc(Br)c1,152190,523
[2*]N1CCC([1*])CC1,152191,524
[2*]C1=C([1*])C(=O)c2ccccc2C1=O,152192,525
[3*]NCc1ccccc1OC,152193,526
[1*]c1ccc2ncnc([2*])c2c1,152194,527
[1*]c1cc(C([2*])=O)no1,152195,528
[3*]Nc1ccc(C(C)=O)cc1,152196,529
[2*]C(=O)c1cc([1*])on1,152197,530
[3*]Nc1cc(C)ccc1C,152198,531
[2*]C(=O)c1ccc([1*])o1,152199,532
[3*]OCCc1ccccc1,152200,533
[3*]c1csc(C)n1,152201,534
[3*]c1cnn(C)c1,152202,535
[3*]Nc1ccccc1C(F)(F)F,152203,536
[3*]Nc1ccccc1CC,152204,537
[3*]Nc1ccccc1F,152205,538
[3*]OCC(C)C,152206,539
[2*]CS(=O)(=O)N[1*],152207,540
[1*]c1ccc(OC[2*])cc1,152208,541
[3*]Nc1ccc(OC(F)(F)F)cc1,152209,542
[3*]OC(C)(C)C,152210,543
[2*]C(=O)c1c([1*])noc1C,152211,544
[3*]c1c(F)cccc1Cl,152212,545
[1*]n1ccnc1SCC([2*])=O,152213,546
[2*]OCC(=O)N[1*],152214,547
[2*]NC(=O)CO[1*],152215,548
[2*]C(=O)CCN[1*],152216,549
[1*]OCC(=O)N[2*],152217,550
[3*]Nc1cc(Cl)ccc1OC,152218,551
[3*]n1cncn1,152219,552
[1*]Nc1cccc(C([2*])=O)c1,152220,553
[1*]C(=O)c1ccc([2*])s1,152221,554
[3*]C(=O)Nc1ccc(F)cc1,152222,555
[3*]C(=O)c1cccc(F)c1,152223,556
[3*]NC(=O)c1ccco1,152224,557
[2*]C(=O)c1cn(-c2ccccc2)nc1[1*],152225,558
[3*]N1CCC(C(N)=O)CC1,152226,559
[1*]Nc1cc(C(F)(F)F)ccc1[2*],152227,560
[1*]N1CCN([2*])CC1,152228,561
[1*]c1noc([2*])n1,152229,562
[3*]N1CCN(S(C)(=O)=O)CC1,152230,563
[1*]C(=NO)NC[2*],152231,564
[2*]c1cccnc1[1*],152232,565
[3*]Oc1ccc(OC)cc1,152233,566
[2*]NS(=O)(=O)c1ccc([1*])cc1,152234,567
[2*]NC1CCN([1*])CC1,152235,568
[3*]Nc1ccc(Cl)cn1,152236,569
[3*]C(=O)c1ccc2c(c1)OCCO2,152237,570
[2*]c1nc([1*])co1,152238,571
[2*]c1ccc(C)nc1[1*],152239,572
[2*]C(=O)CSc1nnc([1*])n1CC,152240,573
[2*]Oc1ccc([1*])cc1,152241,574
[3*]C(=O)c1ccoc1C,152242,575
[1*]c1nc(CS(=O)(=O)CC([2*])=O)c(C)o1,152243,576
[1*]Nc1c(C([2*])=O)oc2ccccc12,152244,577
[3*]NC1CC1,152245,578
[2*]C(=O)CSc1nnc([1*])n1C,152246,579
[3*]Nc1ccc(NC(C)=O)cc1,152247,580
[1*]N(CC)CC([2*])=O,152248,581
[3*]Nc1nnc(C)s1,152249,582
[2*]c1c(C)n(C)n([1*])c1=O,152250,583
[2*]NC(CC(C)C)C([1*])=O,152251,584
[2*]C(=O)Cn1nnc([1*])n1,152252,585
[2*]c1c([1*])c(=O)c1=O,152253,586
[3*]NC(=O)C1CC1,152254,587
[3*]NCCCN1CCCC1=O,152255,588
[2*]C(=O)CCc1nc([1*])no1,152256,589
[3*]N1CCC(C(=O)OCC)CC1,152257,590
