Unnamed: 0,SMILES,blocks
927,C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1cc(F)ccc1F,[3*]c1csc([C@H](C)[C@](O)(Cn2cncn2)c2cc(F)ccc2F)n1^[3*]c1ccc(C#N)cc1
928,C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,[3*]N1CCC(Oc2ccc(OC(F)(F)F)cc2)CC1^[3*]c1ccc(OC[C@@]2(C)Cn3cc([N+](=O)[O-])nc3O2)cc1
930,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1,[3*]c1ccc(N2C[C@H](CO)OC2=O)cc1F^[1*]c1ccc([2*])cn1^[3*]c1nnn(C)n1
944,OCCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,[3*]/C(=C(/CCCl)c1ccccc1)c1ccc(OCCO)cc1^[3*]c1ccccc1
991,CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,[3*]NC(C)C^[3*]c1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O
1046,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,[3*]Nc1ccc(C#N)c(C(F)(F)F)c1^[3*]C(=O)C(C)(O)CS(=O)(=O)c1ccc(F)cc1
1058,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,[3*]Nc1ccc(NS(C)(=O)=O)cc1OC^[3*]c1c2ccccc2nc2ccccc12
1061,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,[3*]Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1^[3*]C(=O)C(C)C
1065,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,[3*]C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C^[3*]/C(C)=C\CO
1070,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,[3*]C1=CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C^[3*]c1cccnc1
1072,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,[3*]Nc1ccc(C(F)(F)F)cc1^[3*]C(=O)c1cnoc1C
1074,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,[3*]Nc1ccc(C(F)(F)F)cc1^[1*]O/C(C)=C(/C#N)C([2*])=O
1092,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,[3*]Nc1nccc(N([3*])c2c(C)cc(/C=C/C#N)cc2C)n1^[3*]c1ccc(C#N)cc1
1098,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,[3*]Nc1ccccn1^[1*]OC1=C(C([2*])=O)N(C)S(=O)(=O)c2ccccc21
1099,CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,[3*]Nc1ccccn1^[1*]OC1=C(C([2*])=O)N(C)S(=O)(=O)c2cc(Cl)sc21
1100,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,[3*]Nc1ccccn1^[1*]OC1=C(C([2*])=O)N(C)S(=O)(=O)c2ccsc21
1101,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,[3*]Nc1ncc(C)s1^[1*]OC1=C(C([2*])=O)N(C)S(=O)(=O)c2ccccc21
1148,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,[3*]Oc1ccccc1^[3*]c1cc([N+](=O)[O-])ccc1NS(C)(=O)=O
1151,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,[3*]NS(=O)(=O)c1ccc([3*])cc1^[1*]c1noc(C)c1[2*]^[3*]c1ccccc1
1161,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,[3*]c1ccc(S(=O)(=O)NC(=O)CC)cc1^[1*]c1noc(C)c1[2*]^[3*]c1ccccc1
1182,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,[3*]c1ccc([N+](=O)[O-])cc1^[3*]c1ccc(/C=N/N2CC(=O)NC2=O)o1
1203,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,[3*]c1ccc(C)nc1^[1*]c1cc(Cl)cnc1[2*]^[3*]c1ccc(S(C)(=O)=O)cc1
1207,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,[3*]Nc1c(C)cccc1C^[3*]C(=O)[C@@H]1CCCCN1CCCC
1215,Cc1cccc(C)c1NC(=O)C1CCCCN1C,[3*]Nc1c(C)cccc1C^[3*]C(=O)C1CCCCN1C
1218,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,[3*]Nc1c(C)cccc1C^[3*]C(=O)[C@@H]1CCCCN1CCC
1222,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,[3*]Nc1c(C)cccc1C^[3*]C(=O)C1CCCCN1CCCC
1223,N#Cc1c(N(CC(=O)[O-])CC(=O)[O-])sc(C(=O)[O-])c1CC(=O)[O-],[3*]N(CC(=O)[O-])CC(=O)[O-]^[3*]c1sc(C(=O)[O-])c(CC(=O)[O-])c1C#N
1225,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,[3*]Nc1c(C)cccc1C^[3*]C(=O)C(CC)N(CC)CCC
1234,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,[3*]c1ccc(OCCN(C)C)cc1^[3*]/C(=C(/CC)c1ccccc1)c1ccccc1
1236,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,[3*]Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1^[3*]C(C)=O
1241,CCOc1ccc(NC(=O)CC(C)O)cc1,[3*]Nc1ccc(OCC)cc1^[3*]C(=O)CC(C)O
